title,author,preview
"국민의힘 김대식 의원, ‘교육개혁 3법’ 대표 발의",세계일보,국민의힘 김대식 의원(부산 사상구)이 제1호 법안으로 ‘교육개혁 3법’을 대표 발의했다. 2일 김대식 의원실에 따르면 김 의원이 …
"박성재 법무장관 ""검사 탄핵, 사법 시스템 근간 흔드는 일""",머니투데이,"더불어민주당 등 야권이 이재명 전 대표 관련 사건 검사 등 4인에 대한 탄핵소추를 추진하는 데에 박성재 법무부 장관이 ""검사를  …"
'이재명 수사' 등 검사 탄핵안 본회의 보고…야 단독 법사위 회부,뉴시스,더불어민주당이 2일 이재명 전 대표 대장동 의혹 등을 수사한 검사 4명에 대한 탄핵 소추안을 국회 본회의에 보고했다. 야당 단독 …
이장우 대전시장과 포옹하는 원희룡 후보,뉴스1,원희룡 국민의힘 당대표 후보가 2일 대전시청에서 이장우 대전시장과 면담에 앞서 포옹하고 있다. 2024.7.2/뉴스1
본회의 항의피켓 붙이는 국민의힘,뉴스1,추경호 국민의힘 원내대표와 배준영 원내수석부대표 등이 2일 오후 서울 여의도 국회 본회의장에서 열린 제415회국회(임시회) 4차 …
검사 탄핵소추안 법사위 회부 제안설명,연합뉴스,2일 국회에서 열린 본회의에서 검사 4인에 대한 탄핵소추안의 법제사법위원회로의 회부 동의의건 제안설명이 이뤄지고 있다. 2024 …
원희룡 충청지역 포옹 위해 이장우 대전시장 면담,뉴스1,원희룡 국민의힘 당대표 후보가 2일 대전시청에서 이장우 대전시장과 면담에 앞서 포옹하고 있다. 2024.7.2/뉴스1
항의 피켓 붙이는 추경호 원내대표,뉴스1,추경호 국민의힘 원내대표가 2일 오후 서울 여의도 국회 본회의장에서 열린 제415회국회(임시회) 4차 본회의 정치·외교·통일·안 …
"원희룡 후보, 이장우 시장과 다정하게",뉴스1,원희룡 국민의힘 당대표 후보가 2일 대전시청에서 이장우 대전시장과 면담에 앞서 포즈를 취하고 있다. 2024.7.2/뉴스1
항의 피켓 붙이는 국민의힘 원내지도부,뉴스1,추경호 국민의힘 원내대표와 배준영 원내수석부대표 등이 2일 오후 서울 여의도 국회 본회의장에서 열린 제415회국회(임시회) 4차 …
